ID,URL,CHAR_COUNT,TIMESTAMP,HEADING
1611880,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611880,3582,07 APR 2020 12:04PM by PIB Delhi,Ex-Servicemen play their part in providing succour to people in their fight against COVID-19
1611836,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611836,3272,06 APR 2020 5:47PM by PIB Bengaluru,ದೇಶಾದ್ಯಂತ ಅಡಚಣೆಯಿಲ್ಲದೆ ವೈದ್ಯಕೀಯ ಆಮ್ಲಜನಕ ಸರಬರಾಜು ಮಾಡುವಲ್ಲಿ ವಿಶೇಷ ಗಮನಹರಿಸಬೇಕೆಂದು ರಾಜ್ಯಗಳಿಗೆ ಗೃಹ ಸಚಿವಾಲಯ ತಿಳಿಸಿದೆ
1611835,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611835,2850,06 APR 2020 3:21PM by PIB Bengaluru,ಕೋವಿಡ್-19 ಪತ್ತೆಗೆ ಡಿ ಎಸ್ ಟಿ ಬೆಂಬಲಿತ ಆರೋಗ್ಯ ರಕ್ಷಣಾ ನವೋದ್ಯಮದಿಂದ ಕ್ಷಿಪ್ರ ಪರೀಕ್ಷೆ ಅಭಿವೃದ್ಧಿ
1611834,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611834,1493,06 APR 2020 8:34PM by PIB Mumbai,पंतप्रधान नरेंद्र मोदी आणि बहरिनचे राजे यांच्यात दूरध्वनीवरुन चर्चा
1611833,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611833,1341,06 APR 2020 8:34PM by PIB Bengaluru,ಪ್ರಧಾನಿ ಮತ್ತು ಬಹ್ರೇನ್ ದೊರೆ ನಡುವೆ ದೂರವಾಣಿ ಸಂಭಾಷಣೆ
1611832,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611832,1642,06 APR 2020 5:27PM by PIB Kolkata,কোভিড – ১৯ এর বিষয়ে সর্বশেষ প্রাপ্ত তথ্য
1611831,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611831,2121,06 APR 2020 7:17PM by PIB Ahmedabad,નેશનલ પાર્ક / અભયારણ્યો / ટાઇગર રિઝર્વ્સમાં કોવિડ-19ને નિયંત્રણમાં લેવા અને સારવાર સંબંધિત માર્ગદર્શિકા
1610482,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610482,1723,02 APR 2020 6:32PM by PIB Ahmedabad,ભારતીય નૌકાદળના જહાજે દરિયામાં અટવાયેલા નિરાધાર માછીમારોની મદદ કરી
1610481,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610481,3023,02 APR 2020 4:30PM by PIB Hyderabad,"కోవిడ్-19 మానసిక-సామాజిక ప్రభావం గురించి కమ్యూనిటీ అవగాహనను అంచనా వేయడానికి, భారత ప్రభుత్వ మానవ వనరుల అభివృద్ధి మంత్రిత్వ శాఖ కు చెందిన జాతీయ బుక్ ట్రస్ట్, ఆన్ లైన్ ప్రశ్నావళిని విడుదల చేసింది."
1610480,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610480,1703,02 APR 2020 6:32PM by PIB Delhi,भारतीय नौसेना का युद्धपोत समुद्र में फंसे मछुआरों की मदद कर रहा है
1610479,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610479,1737,02 APR 2020 8:36PM by PIB Delhi,Telephone Conversation between PM and His Royal Highness The Prince of Wales
1610478,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610478,3412,02 APR 2020 5:39PM by PIB Delhi,कोविड 19 पर अपडेट
1610477,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610477,2576,02 APR 2020 4:24PM by PIB Ahmedabad,પર્યટન મંત્રાલયે ‘Stranded in India – ભારતમાં નિરાધાર’ પોર્ટલ પર બે દિવસમાં વિદેશી પ્રવાસીઓ પાસેથી મદદ કરવા માટે 500 કરતા વધુ પ્રશ્નો/વિનંતીઓ પ્રાપ્ત કરી
1610476,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610476,928,02 APR 2020 7:38PM by PIB Chandigarh,ਗ੍ਰਹਿ ਮੰਤਰਾਲੇ ਨੇ ਟੂਰਿਸਟ ਵੀਜ਼ੇ 'ਤੇ ਤਬਲੀਗ਼ੀ ਜਮਾਤ ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ ਵਿੱਚ ਸ਼ਾਮਲ 960 ਵਿਦੇਸ਼ੀ ਨੂੰ ਬਲੈਕ ਲਿਸਟ ਕੀਤਾ; ਜ਼ਰੂਰੀ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ ਹੋਵੇਗੀ
1610475,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610475,3420,02 APR 2020 6:23PM by PIB Delhi,एससीटीआईएमएसटी ने कोविड 19 से संबंधित खतरे का सामना करने के लिए आटोमेटेड वेंटिलेटरों का निर्माण करने के लिए विप्रो 3डी के साथ करार किया
1610474,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610474,2091,02 APR 2020 4:21PM by PIB Chandigarh,ਆਰੋਗਯ ਸੇਤੂ :  ਬਹੁ-ਅਯਾਮੀ ਪੁਲ਼
1610473,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1610473,855,02 APR 2020 8:18PM by PIB Kolkata,সমাজের বিভিন্ন শ্রেণীর মানুষের মধ্যে কোভিড -১৯ এর প্রভাবে মানসিক- সামাজিক উপলব্ধির মূল্যায়ন নিয়ে প্রশ্নাবলী  তৈরি করেছে কেন্দ্রীয় মানবসম্পদ উন্নয়ন মন্ত্রকের আওতাধীন ন্যাশনাল বুক ট্রাস্ট